0.00102 0.303632	-0.0250993	0.642542	0.303659	-0.025105	0.642505	0.303632	-0.0250993	0.642542	0.303659	-0.0251053	0.642505	-0.243857	0.170876	-0.0349873	0.0319899	0.0313152	0.0191938	0.241069	-0.172892	0.0380342	-1.85494	0.753293	0.228278	
0.00098 0.303632	-0.0250993	0.642542	0.303674	-0.0251017	0.642497	0.303632	-0.0250993	0.642542	0.303674	-0.0251021	0.642497	-0.231288	0.127065	-0.0652825	0.0260795	0.0280544	0.0199427	0.226949	-0.129812	0.0686928	-1.84902	0.756567	0.227557	
0.00358 0.303632	-0.0250993	0.642542	0.30369	-0.0251012	0.642485	0.303632	-0.0250993	0.642542	0.30369	-0.0251016	0.642486	-0.154854	0.0244392	-0.0982696	0.0131749	0.0178318	0.0206581	0.148884	-0.0279102	0.102433	-1.8361	0.766804	0.226882	
0.00362 0.303632	-0.0250993	0.642542	0.303703	-0.0250975	0.642477	0.303632	-0.0250993	0.642542	0.303704	-0.0250979	0.642477	-0.0206277	-0.129613	-0.128104	-0.0056673	0.00155459	0.021176	0.0132869	0.125358	0.132613	-1.81725	0.783089	0.226392	
0.00332 0.303632	-0.0250993	0.642542	0.303708	-0.0250979	0.642474	0.303632	-0.0250993	0.642542	0.303708	-0.0250983	0.642474	0.14847	-0.314556	-0.147276	-0.0278726	-0.0180171	0.0215255	-0.156254	0.310132	0.152038	-1.79505	0.802658	0.226059	
0.00253 0.303632	-0.0250993	0.642542	0.303707	-0.0250986	0.642472	0.303632	-0.0250993	0.642542	0.303707	-0.0250989	0.642473	0.319412	-0.497494	-0.14736	-0.0495135	-0.0370041	0.0218177	-0.327123	0.493012	0.152274	-1.77341	0.821642	0.225769	
0.00213 0.303632	-0.0250993	0.642542	0.303702	-0.0251033	0.642471	0.303632	-0.0250993	0.642542	0.303702	-0.0251036	0.642471	0.45934	-0.641552	-0.123558	-0.0662738	-0.0517257	0.0220164	-0.466532	0.637268	0.128921	-1.75665	0.836354	0.225575	
0.00196 0.303632	-0.0250993	0.642542	0.303691	-0.0251052	0.642471	0.303632	-0.0250993	0.642542	0.303692	-0.0251055	0.642471	0.541992	-0.715276	-0.0819529	-0.0746246	-0.0595886	0.0220047	-0.548158	0.711109	0.0874261	-1.7483	0.84421	0.22558	
0.00602 0.303632	-0.0250993	0.642542	0.303657	-0.0251027	0.642472	0.303632	-0.0250993	0.642542	0.303657	-0.025103	0.642473	0.274956	-0.388976	0.0418367	-0.0367239	-0.0280241	0.0204176	-0.277671	0.384558	-0.0366125	-1.78622	0.812625	0.227126	
0.00538 0.303632	-0.0250993	0.642542	0.303656	-0.0251028	0.64247	0.303632	-0.0250993	0.642542	0.303656	-0.025103	0.64247	0.0445088	-0.146879	0.0609864	-0.00934892	-0.00337557	0.0197094	-0.0471189	0.142275	-0.0555634	-1.81359	0.78798	0.227838	
0.0034 0.303632	-0.0250993	0.642542	0.30366	-0.0250997	0.642462	0.303632	-0.0250993	0.642542	0.30366	-0.0251	0.642463	-0.188423	0.0912527	0.0623857	0.0170989	0.0207929	0.019295	0.185386	-0.096568	-0.0566502	-1.84003	0.763824	0.228264	
0.00497 0.303632	-0.0250993	0.642542	0.303669	-0.0250997	0.642452	0.303632	-0.0250993	0.642542	0.30367	-0.0251	0.642452	-0.37169	0.2738	0.0520208	0.0369348	0.0390234	0.0192084	0.367655	-0.279806	-0.045519	-1.85986	0.745611	0.22838	
0.00304 0.303632	-0.0250993	0.642542	0.303686	-0.0251005	0.642437	0.303632	-0.0250993	0.642542	0.303686	-0.0251008	0.642438	-0.464139	0.364666	0.0339166	0.0461555	0.0469529	0.0193306	0.458396	-0.371519	-0.0263358	-1.86906	0.737704	0.228298	
0.00498 0.303632	-0.0250993	0.642542	0.303705	-0.0250999	0.642419	0.303632	-0.0250993	0.642542	0.303706	-0.0251003	0.642419	-0.448129	0.350339	0.00544118	0.0430387	0.0425784	0.0196004	0.440366	-0.358405	0.00341314	-1.86593	0.742103	0.228079	
0.00181 0.303632	-0.0250993	0.642542	0.303726	-0.0250997	0.642398	0.303632	-0.0250993	0.642542	0.303727	-0.0251	0.642399	-0.330754	0.235741	-0.0367695	0.0278482	0.0266048	0.0200609	0.320804	-0.24516	0.0470931	-1.85072	0.7581	0.227674	
0.00301 0.303632	-0.0250993	0.642542	0.303748	-0.0250976	0.64238	0.303632	-0.0250993	0.642542	0.303748	-0.025098	0.64238	-0.130088	0.0405587	-0.0946966	0.00263625	0.000979247	0.0206214	0.117937	-0.0512875	0.106193	-1.82549	0.783742	0.227168	
0.0014 0.303632	-0.0250993	0.642542	0.303765	-0.0250978	0.642364	0.303632	-0.0250993	0.642542	0.303766	-0.0250981	0.642364	0.130083	-0.203932	-0.164052	-0.0289474	-0.0315129	0.0210417	-0.144063	0.192161	0.176737	-1.7939	0.816249	0.226797	
